param_name,fisher_value,zone,dataset
model.layers.8.self_attn.k_proj.weight,0.019801094273134368,C,gsm8k
model.layers.24.self_attn.v_proj.weight,0.019699519005371258,C,gsm8k
model.layers.2.mlp.down_proj.weight,0.019090716235950822,C,gsm8k
model.layers.25.self_attn.v_proj.weight,0.018875958005082794,C,gsm8k
model.layers.27.self_attn.v_proj.weight,0.016724431811477796,C,gsm8k
model.layers.4.self_attn.k_proj.weight,0.016443518095911713,C,gsm8k
model.layers.15.self_attn.o_proj.weight,0.01583628831455523,C,gsm8k
model.layers.10.self_attn.o_proj.weight,0.012188777088037265,C,gsm8k
model.layers.11.self_attn.o_proj.weight,0.01197586582323614,C,gsm8k
model.embed_tokens.weight,0.011495311239438403,C,gsm8k
model.layers.13.self_attn.o_proj.weight,0.011201459239600808,C,gsm8k
model.layers.7.self_attn.k_proj.weight,0.010967672134938766,C,gsm8k
model.layers.27.mlp.down_proj.weight,0.010692504152757465,C,gsm8k
model.layers.2.self_attn.k_proj.weight,0.010533624767049332,C,gsm8k
model.layers.27.self_attn.q_proj.weight,0.010462030059594932,C,gsm8k
model.layers.16.self_attn.o_proj.weight,0.01044663786857806,C,gsm8k
model.layers.27.mlp.up_proj.weight,0.009984026914632219,C,gsm8k
model.layers.27.self_attn.o_proj.weight,0.009861537151664379,C,gsm8k
model.layers.18.self_attn.o_proj.weight,0.009445529235866465,C,gsm8k
model.layers.9.self_attn.o_proj.weight,0.008467512607239769,C,gsm8k
model.layers.7.self_attn.o_proj.weight,0.008169853776962555,C,gsm8k
model.layers.1.self_attn.o_proj.weight,0.008126559141904485,C,gsm8k
model.layers.20.self_attn.o_proj.weight,0.007920882463016218,C,gsm8k
model.layers.12.self_attn.o_proj.weight,0.007875702670086563,C,gsm8k
model.layers.14.self_attn.o_proj.weight,0.007295650860214664,C,gsm8k
model.layers.26.self_attn.v_proj.weight,0.007231267225506599,C,gsm8k
model.layers.17.self_attn.o_proj.weight,0.007078458386786224,C,gsm8k
model.layers.5.self_attn.o_proj.weight,0.007077510351640133,C,gsm8k
model.layers.19.self_attn.o_proj.weight,0.006866074333023183,C,gsm8k
model.layers.8.self_attn.o_proj.weight,0.006757664495429101,C,gsm8k
model.layers.1.mlp.up_proj.weight,0.006580552215079176,C,gsm8k
model.layers.3.self_attn.o_proj.weight,0.006275428574857263,C,gsm8k
model.layers.4.self_attn.o_proj.weight,0.005412546772428565,C,gsm8k
model.layers.27.mlp.gate_proj.weight,0.005264249641792655,C,gsm8k
model.layers.0.self_attn.k_proj.weight,0.005248786010724871,C,gsm8k
model.layers.4.mlp.up_proj.weight,0.004939756124864895,C,gsm8k
model.layers.3.mlp.up_proj.weight,0.004856319326184651,C,gsm8k
model.layers.5.mlp.up_proj.weight,0.004846153292874078,C,gsm8k
model.layers.1.mlp.gate_proj.weight,0.004840683525344502,C,gsm8k
model.layers.26.self_attn.q_proj.weight,0.004776169669791368,C,gsm8k
model.layers.2.self_attn.o_proj.weight,0.004727736160627198,C,gsm8k
model.layers.21.self_attn.o_proj.weight,0.004675118868362915,C,gsm8k
model.layers.2.mlp.up_proj.weight,0.004522178620845807,C,gsm8k
model.layers.6.self_attn.o_proj.weight,0.004371320972344013,C,gsm8k
model.layers.22.self_attn.o_proj.weight,0.0043223115875055855,C,gsm8k
model.layers.23.self_attn.o_proj.weight,0.0040146028512329695,C,gsm8k
model.layers.4.mlp.down_proj.weight,0.003838539390168686,C,gsm8k
model.layers.16.self_attn.q_proj.weight,0.0036769748544429603,C,gsm8k
model.layers.26.mlp.down_proj.weight,0.003628196097148854,C,gsm8k
model.layers.26.self_attn.o_proj.weight,0.003609569814216229,C,gsm8k
model.layers.6.mlp.down_proj.weight,0.0034180169227511215,C,gsm8k
model.layers.24.self_attn.o_proj.weight,0.0033779344147054267,C,gsm8k
model.layers.6.mlp.up_proj.weight,0.0032423136514504827,C,gsm8k
model.layers.17.self_attn.q_proj.weight,0.003236269787824616,C,gsm8k
model.layers.7.mlp.down_proj.weight,0.003180035537752701,C,gsm8k
model.layers.8.mlp.down_proj.weight,0.0031646508311193124,C,gsm8k
model.layers.23.self_attn.q_proj.weight,0.0031637000091298737,C,gsm8k
