param_name,fisher_value,dataset
model.layers.9.self_attn.o_proj.weight,0.008467512607239769,gsm8k
model.layers.7.self_attn.o_proj.weight,0.008169853776962555,gsm8k
model.layers.1.self_attn.o_proj.weight,0.008126559141904485,gsm8k
model.layers.20.self_attn.o_proj.weight,0.007920882463016218,gsm8k
model.layers.12.self_attn.o_proj.weight,0.007875702670086563,gsm8k
model.layers.14.self_attn.o_proj.weight,0.007295650860214664,gsm8k
model.layers.26.self_attn.v_proj.weight,0.007231267225506599,gsm8k
model.layers.17.self_attn.o_proj.weight,0.007078458386786224,gsm8k
model.layers.5.self_attn.o_proj.weight,0.007077510351640133,gsm8k
model.layers.19.self_attn.o_proj.weight,0.006866074333023183,gsm8k
model.layers.8.self_attn.o_proj.weight,0.006757664495429101,gsm8k
model.layers.1.mlp.up_proj.weight,0.006580552215079176,gsm8k
model.layers.3.self_attn.o_proj.weight,0.006275428574857263,gsm8k
model.layers.4.self_attn.o_proj.weight,0.005412546772428565,gsm8k
model.layers.27.mlp.gate_proj.weight,0.005264249641792655,gsm8k
model.layers.0.self_attn.k_proj.weight,0.005248786010724871,gsm8k
model.layers.4.mlp.up_proj.weight,0.004939756124864895,gsm8k
model.layers.3.mlp.up_proj.weight,0.004856319326184651,gsm8k
model.layers.5.mlp.up_proj.weight,0.004846153292874078,gsm8k
model.layers.1.mlp.gate_proj.weight,0.004840683525344502,gsm8k
model.layers.26.self_attn.q_proj.weight,0.004776169669791368,gsm8k
model.layers.2.self_attn.o_proj.weight,0.004727736160627198,gsm8k
model.layers.21.self_attn.o_proj.weight,0.004675118868362915,gsm8k
model.layers.2.mlp.up_proj.weight,0.004522178620845807,gsm8k
model.layers.6.self_attn.o_proj.weight,0.004371320972344013,gsm8k
model.layers.22.self_attn.o_proj.weight,0.0043223115875055855,gsm8k
model.layers.23.self_attn.o_proj.weight,0.0040146028512329695,gsm8k
model.layers.4.mlp.down_proj.weight,0.003838539390168686,gsm8k
model.layers.16.self_attn.q_proj.weight,0.0036769748544429603,gsm8k
model.layers.26.mlp.down_proj.weight,0.003628196097148854,gsm8k
model.layers.26.self_attn.o_proj.weight,0.003609569814216229,gsm8k
model.layers.6.mlp.down_proj.weight,0.0034180169227511215,gsm8k
model.layers.24.self_attn.o_proj.weight,0.0033779344147054267,gsm8k
model.layers.6.mlp.up_proj.weight,0.0032423136514504827,gsm8k
model.layers.17.self_attn.q_proj.weight,0.003236269787824616,gsm8k
model.layers.7.mlp.down_proj.weight,0.003180035537752701,gsm8k
model.layers.8.mlp.down_proj.weight,0.0031646508311193124,gsm8k
model.layers.23.self_attn.q_proj.weight,0.0031637000091298737,gsm8k
model.layers.26.mlp.gate_proj.weight,0.0031417654546809595,gsm8k
model.layers.11.self_attn.q_proj.weight,0.0029925253418999396,gsm8k
model.layers.25.self_attn.o_proj.weight,0.00294995698383597,gsm8k
